time	V(n006)
0.000000000000000e+00	2.979555e-05
1.000000000000000e-12	2.979555e-05
1.959999983153603e-12	1.920028e+00
2.000000000000000e-12	2.000028e+00
2.080000033692794e-12	2.000028e+00
2.560000235849557e-12	2.000026e+00
3.548781227366457e-09	1.988856e+00
7.095002454497065e-09	1.977638e+00
1.064122368162767e-08	1.966373e+00
1.418744490875828e-08	1.955060e+00
1.773366613588889e-08	1.943700e+00
2.127988736301950e-08	1.932293e+00
2.482610859015010e-08	1.920838e+00
3.737600165088671e-08	1.879104e+00
5.484710916424259e-08	1.818187e+00
7.531299550866968e-08	1.741974e+00
1.014646770411377e-07	1.636264e+00
1.344174656902568e-07	1.489236e+00
1.821094292790516e-07	1.250979e+00
2.536936562767560e-07	8.621515e-01
2.639614356376992e-07	8.034661e-01
3.933394838240085e-07	4.727746e-02
5.452689771619977e-07	-8.362446e-01
6.307337173179699e-07	-1.330912e+00
6.954333645285286e-07	-1.704153e+00
7.585707130176532e-07	-2.064718e+00
8.406837115876339e-07	-2.503033e+00
9.398913907380866e-07	-2.930614e+00
1.039518229988326e-06	-3.203357e+00
1.131916068108294e-06	-3.299270e+00
1.230676590118318e-06	-3.236082e+00
1.371513007672009e-06	-2.962185e+00
1.411944659400769e-06	-2.847888e+00
1.417249353411410e-06	-2.830259e+00
1.427858741432690e-06	-2.794234e+00
1.449077517475250e-06	-2.722160e+00
1.491515069560372e-06	-2.577985e+00
1.544368957124835e-06	-2.398448e+00
1.628592518950839e-06	-2.112539e+00
1.771578993908629e-06	-1.627893e+00
2.023583428436154e-06	-7.757993e-01
2.279784440734906e-06	8.772150e-02
2.522240703344115e-06	9.016590e-01
2.818817972947484e-06	1.892527e+00
3.156107255312186e-06	2.986847e+00
3.303165901457555e-06	3.390295e+00
3.401227808237319e-06	3.560147e+00
3.496544636138093e-06	3.615927e+00
3.621424196366349e-06	3.568503e+00
3.768460420353433e-06	3.420701e+00
3.864942236973723e-06	3.304336e+00
3.939813922889307e-06	3.228633e+00
4.014592938984883e-06	3.187645e+00
4.116165992578774e-06	3.200320e+00
4.298454074828118e-06	3.350813e+00
4.467051660901609e-06	3.568587e+00
4.588446893121287e-06	3.727875e+00
4.718236364830278e-06	3.832346e+00
4.853648039824712e-06	3.854953e+00
4.872552175012105e-06	3.845881e+00
4.910360445386889e-06	3.806272e+00
4.985976986136458e-06	3.691324e+00
5.083133672986461e-06	3.501388e+00
5.084311081180281e-06	3.498678e+00
5.086665897567921e-06	3.492782e+00
5.091375530343202e-06	3.480848e+00
5.100794795893762e-06	3.456414e+00
5.119633326994883e-06	3.405380e+00
5.157310389197124e-06	3.299150e+00
5.160624750424111e-06	3.289463e+00
5.167253472878084e-06	3.269494e+00
5.180510917786029e-06	3.228692e+00
5.207025807601920e-06	3.144334e+00
5.260055587233702e-06	2.971099e+00
5.266967166699249e-06	2.948157e+00
5.280790325630342e-06	2.901887e+00
5.308436643492529e-06	2.809340e+00
5.363729279216904e-06	2.624282e+00
5.445981082295669e-06	2.349221e+00
5.572276218332501e-06	1.927551e+00
5.660287347603454e-06	1.637150e+00
5.731689963682015e-06	1.412059e+00
5.794487253048345e-06	1.231855e+00
5.861722221994101e-06	1.065760e+00
5.963901645939780e-06	8.668650e-01
6.120101600911369e-06	6.577757e-01
6.299424871296680e-06	5.165064e-01
6.435149208057033e-06	4.600176e-01
6.543596989248744e-06	4.321002e-01
6.650191527587114e-06	4.061838e-01
6.718560437884338e-06	3.871561e-01
6.782115320003563e-06	3.668834e-01
6.845408051294287e-06	3.450483e-01
6.936730577973155e-06	3.140746e-01
7.049048797331313e-06	2.864350e-01
7.216928125661344e-06	2.837936e-01
7.384394721980268e-06	3.528696e-01
7.588587963458353e-06	5.545987e-01
7.792724403780455e-06	8.724238e-01
8.012896420494343e-06	1.301600e+00
8.140579724256911e-06	1.566896e+00
8.276342997000113e-06	1.838572e+00
8.404387381859825e-06	2.066939e+00
8.540108285021581e-06	2.264791e+00
8.746339557361199e-06	2.495569e+00
8.880314587778570e-06	2.604194e+00
9.016637974349211e-06	2.679288e+00
9.181458557592460e-06	2.740870e+00
9.357856735921395e-06	2.776816e+00
9.595280210340005e-06	2.776592e+00
9.823672533216301e-06	2.709697e+00
1.008380403066597e-05	2.537983e+00
1.031859414827700e-05	2.299954e+00
1.052097811168183e-05	2.043025e+00
1.071121875872478e-05	1.782631e+00
1.087305406106433e-05	1.568338e+00
1.104774018269843e-05	1.361347e+00
1.120635048714829e-05	1.203452e+00
